"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000021379",-2.07475821791962,1.9521740373562,4.22982051927057e-21,2.04373703080229e-19
"ENSMUSG00000091387",-2.07086937249683,1.92987376113585,5.15005169582469e-19,2.12133081756588e-17
"ENSMUSG00000062380",-2.04680964327049,5.0557625118973,7.3427764329598e-34,8.25695209886329e-32
"ENSMUSG00000042102",-2.01624003330768,2.15947199442973,1.16400101524313e-19,4.97687886555474e-18
"ENSMUSG00000033256",-2.01017413353237,3.01977997749843,2.28805468587173e-27,1.72679026460588e-25
"ENSMUSG00000031925",-1.97958151182031,2.4366857753618,4.81732554308678e-23,2.7497881082239e-21
"ENSMUSG00000031558",-1.94022410685025,3.29461493508614,2.63931151827097e-24,1.63972696259431e-22
"ENSMUSG00000027703",-1.93962253870882,2.49567897132911,2.83828005192272e-21,1.39373184209044e-19
"ENSMUSG00000027702",-1.92989229506052,4.70976089297481,1.64374327550067e-25,1.11348753813283e-23
"ENSMUSG00000074653",-1.92051617453992,4.34332109829768,1.02398695568017e-27,7.94119539077486e-26
"ENSMUSG00000031997",-1.89284228001667,1.5594652709803,7.14644769986803e-13,1.76619350296739e-11
"ENSMUSG00000050328",-1.88988657766824,1.8767219234354,6.93054340801911e-17,2.42030933612344e-15
"ENSMUSG00000031548",-1.88986046312688,7.18711007063637,2.92620965546679e-37,3.82618925299117e-35
"ENSMUSG00000021803",-1.88901988569449,2.04606265252805,1.09392334787332e-16,3.77336443154464e-15
"ENSMUSG00000000308",-1.82368341766426,4.29497875204907,1.31581986843494e-31,1.27555124315094e-29
"ENSMUSG00000027317",-1.81264218576215,1.93706254908254,7.72208845112126e-14,2.0924068586231e-12
"ENSMUSG00000001270",-1.78183029856658,8.59375789304599,1.75067293594121e-23,1.04160408278619e-21
"ENSMUSG00000027452",-1.72978076756071,4.33028797493273,4.49127978756039e-35,5.26087929282465e-33
"ENSMUSG00000028709",-1.7222654004229,3.22719417198055,1.06444439072846e-26,7.72237237015586e-25
"ENSMUSG00000025232",-1.70072211468999,6.36767733211319,1.81460150901737e-32,1.85501763353639e-30
"ENSMUSG00000033022",-1.6859526036833,3.24291209365935,8.63376943999484e-23,4.83018593794736e-21
"ENSMUSG00000042367",-1.68048207909477,6.50896933119401,2.25457481475664e-29,1.98067920249519e-27
"ENSMUSG00000027533",-1.67428334938473,2.27285282047476,5.02959345496374e-12,1.14721660042733e-10
"ENSMUSG00000023048",-1.67116452435862,3.52356961880399,1.91312949195626e-19,8.08764704400305e-18
"ENSMUSG00000022489",-1.66081062461731,4.23837233017963,3.266957772794e-34,3.71080203586551e-32
"ENSMUSG00000021186",-1.66017072483356,1.93887662504702,6.56731389063236e-13,1.64109877111469e-11
"ENSMUSG00000040483",-1.65493269669677,3.81677290121161,1.31089840594729e-28,1.07598923904214e-26
"ENSMUSG00000039349",-1.643288514647,3.14061093452025,3.42779426861892e-22,1.8181861580481e-20
"ENSMUSG00000032271",-1.62962538516879,2.70871895691291,3.79113708237855e-18,1.46499438114594e-16
"ENSMUSG00000092354",-1.62412428501789,1.6526179606621,1.34644962709711e-10,2.64699756236137e-09
"ENSMUSG00000013584",-1.61243252019778,1.78602189233955,1.77106535990474e-12,4.21941312968830e-11
"ENSMUSG00000039542",-1.6060675599217,4.35572354587044,4.0474801901086e-28,3.20520526322332e-26
"ENSMUSG00000038354",-1.60019743041112,3.50082930794852,1.58102454422062e-24,9.98798932570833e-23
"ENSMUSG00000042808",-1.59391266829748,1.89082090318489,9.89011005823809e-13,2.42296922886465e-11
"ENSMUSG00000031549",-1.58777922784655,1.94003552357598,3.78962857495928e-14,1.0470361996417e-12
"ENSMUSG00000002983",-1.56928133593352,3.79779983566837,1.56229392045719e-21,7.8780247244579e-20
"ENSMUSG00000046133",-1.56625705005166,3.2567316390248,2.77673692075184e-15,8.62552670548466e-14
"ENSMUSG00000045312",-1.56358492002866,3.36450779738426,1.90502924895281e-21,9.52091284643304e-20
"ENSMUSG00000028640",-1.56297264445209,3.60541882725965,5.73450289157735e-17,2.03421088377878e-15
"ENSMUSG00000037762",-1.55720945572171,1.61668327188044,1.14016077825296e-11,2.4943789788822e-10
"ENSMUSG00000063838",-1.54728393072634,3.4514787999432,6.41194191749508e-17,2.26025977624552e-15
"ENSMUSG00000025085",-1.54473917343627,3.90533738334615,1.53915937853477e-24,9.77844475232962e-23
"ENSMUSG00000034416",-1.54103319981867,2.26573392769534,2.34360965043414e-15,7.34091657914539e-14
"ENSMUSG00000066705",-1.53452681071301,5.36622922918496,1.6197627878197e-27,1.23906343870969e-25
"ENSMUSG00000041718",-1.53069614962935,7.61141803851228,1.06285372495663e-24,6.79078985064621e-23
"ENSMUSG00000023094",-1.51490406195024,3.38925321085707,1.23950059894128e-18,4.97792294110526e-17
"ENSMUSG00000066652",-1.50846603575704,7.26407331683021,2.48230016906497e-19,1.03767529372251e-17
"ENSMUSG00000087283",-1.50770262368106,2.26179111878069,9.91533179004996e-14,2.64840631779363e-12
"ENSMUSG00000071604",-1.47772761759573,3.24450721092818,2.45322892704614e-17,8.92768908887828e-16
"ENSMUSG00000005125",-1.47751950958905,3.16788032404614,1.03882353990372e-13,2.76160063976769e-12
"ENSMUSG00000063646",-1.47225451731497,4.56064274655599,2.17946022816015e-25,1.46754672249466e-23
"ENSMUSG00000040026",-1.45618868038629,3.27867093637039,1.99831507015275e-15,6.27683043683453e-14
"ENSMUSG00000043673",-1.44754270488983,1.97113178253305,5.86009492705867e-11,1.18947233672879e-09
"ENSMUSG00000037169",-1.4442382559983,5.40916833365934,1.33508889171372e-28,1.08790395560295e-26
"ENSMUSG00000032094",-1.43374767298456,2.70825223748215,2.81672280542783e-13,7.18232379751381e-12
"ENSMUSG00000026655",-1.42890149584786,4.10843255234858,2.46512056615506e-24,1.54001559813409e-22
"ENSMUSG00000026380",-1.42874352401148,9.91805602244299,4.98318320624137e-23,2.83009571485779e-21
"ENSMUSG00000041654",-1.41684850672624,4.22773603435846,5.81957441029635e-23,3.27205571218912e-21
"ENSMUSG00000046312",-1.40064388344638,4.31063755812539,8.33107263081708e-21,3.88725774827959e-19
"ENSMUSG00000022040",-1.39929758195798,4.67507684843397,3.94549434079926e-23,2.26362672766774e-21
"ENSMUSG00000021242",-1.39646711767545,6.99266917579212,7.72011360280952e-21,3.61719489431638e-19
"ENSMUSG00000032517",-1.38631084517397,1.50015612046322,4.22581824438899e-08,5.9473499572158e-07
"ENSMUSG00000022490",-1.38454380867459,2.90060565429299,1.10083868536242e-12,2.67942229803039e-11
"ENSMUSG00000092674",-1.38376671754612,2.73564821056041,3.18589311700416e-05,0.000244208371511327
"ENSMUSG00000047878",-1.37743394669753,4.76732783922932,2.24361554844597e-25,1.50175338346874e-23
"ENSMUSG00000025401",-1.37541788406394,3.13124067140864,5.2393176876239e-16,1.70771383760379e-14
